layer,signal,dataset,period,risk_level,risk_label,n,n20,avg20,median20,win20,right_tail20_rate,n60,avg60,median60,win60,right_tail60_rate,notes
regime_family,magic26_v0_quality,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,11,11,-0.006118282663364808,-0.002595940606186918,0.36363636363636365,0.18181818181818182,11,-0.0416654290407413,-0.1196402915244275,0.2727272727272727,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,13,13,0.07640559354648423,-0.023510713769073578,0.46153846153846156,0.15384615384615385,13,0.12012834841415984,-0.10882358400407909,0.38461538461538464,0.15384615384615385,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,7,7,0.014505132141000878,0.047670381248963375,0.5714285714285714,0.14285714285714285,7,0.06035494400499727,-0.06899166357231007,0.42857142857142855,0.14285714285714285,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,5,4,0.35264599827480464,0.32565141916766116,1.0,1.0,1,0.4267191606423355,0.4267191606423355,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,6,6,0.22854062340930278,0.20357884327525885,0.8333333333333334,0.6666666666666666,2,0.35805197673905453,0.35805197673905453,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,12,10,0.2319729197603618,0.13854420167452938,0.7,0.4,3,0.547956906262742,0.6830244786500761,1.0,0.6666666666666666,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,8,8,-0.022178064533880732,-0.10707383977492588,0.375,0.25,4,-0.16119261827673265,-0.1157650898199182,0.5,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,21,20,0.07220342418254352,0.029851816035164135,0.55,0.35,17,0.08520049431447294,-0.018071960384698882,0.4117647058823529,0.11764705882352941,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,20,20,0.05231664699896833,0.010188378276278389,0.5,0.3,16,-0.00013032620279965646,-0.10713061168119574,0.3125,0.0625,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,28,26,0.11023437526544343,0.01712049722166494,0.5384615384615384,0.2692307692307692,19,0.15251244706506162,-0.08207210051487192,0.47368421052631576,0.21052631578947367,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,17,17,-0.01904531281314556,-0.08825003265931602,0.4117647058823529,0.17647058823529413,13,-0.053930657671193975,-0.1531845876525342,0.38461538461538464,0.07692307692307693,risk levels from P2-6 draft; dedup_prefer_adjusted only
